@relation fifa_final
@attribute Age integer [17, 37]
@attribute Overall integer [71, 94]
@attribute Potential integer [73, 95]
@attribute Value {Menor_que_5700, Entre_5700_e_8500, Entre_8500_e_11500, Maior_que_11500}
@attribute Special integer [1043, 2346]
@attribute InternationalReputation real [1.0, 5.0]
@attribute WeakFoot real [1.0, 5.0]
@attribute SkillMoves real [1.0, 5.0]
@attribute ContractValidUntil real [2018.0, 2026.0]
@attribute Crossing real [9.0, 93.0]
@attribute Finishing real [5.0, 95.0]
@attribute HeadingAccuracy real [8.0, 93.0]
@attribute ShortPassing real [13.0, 93.0]
@attribute Volleys real [5.0, 90.0]
@attribute Dribbling real [8.0, 97.0]
@attribute Curve real [9.0, 94.0]
@attribute FKAccuracy real [7.0, 94.0]
@attribute LongPassing real [12.0, 93.0]
@attribute BallControl real [11.0, 96.0]
@attribute Acceleration real [29.0, 97.0]
@attribute SprintSpeed real [26.0, 96.0]
@attribute Agility real [21.0, 96.0]
@attribute Reactions real [51.0, 96.0]
@attribute Balance real [22.0, 96.0]
@attribute ShotPower real [12.0, 95.0]
@attribute Jumping real [30.0, 95.0]
@attribute Stamina real [20.0, 96.0]
@attribute Strength real [27.0, 95.0]
@attribute LongShots real [6.0, 94.0]
@attribute Aggression real [11.0, 94.0]
@attribute Interceptions real [7.0, 92.0]
@attribute Positioning real [4.0, 95.0]
@attribute Vision real [11.0, 94.0]
@attribute Penalties real [10.0, 92.0]
@attribute Composure real [25.0, 96.0]
@attribute Marking real [9.0, 94.0]
@attribute StandingTackle real [7.0, 92.0]
@attribute SlidingTackle real [8.0, 91.0]
@attribute GKDiving real [1.0, 90.0]
@attribute GKHandling real [1.0, 92.0]
@attribute GKKicking real [1.0, 91.0]
@attribute GKPositioning real [1.0, 88.0]
@attribute GKReflexes real [1.0, 94.0]
@inputs Age, Overall, Potential, Special, InternationalReputation, WeakFoot, SkillMoves, ContractValidUntil, Crossing, Finishing, HeadingAccuracy, ShortPassing, Volleys, Dribbling, Curve, FKAccuracy, LongPassing, BallControl, Acceleration, SprintSpeed, Agility, Reactions, Balance, ShotPower, Jumping, Stamina, Strength, LongShots, Aggression, Interceptions, Positioning, Vision, Penalties, Composure, Marking, StandingTackle, SlidingTackle, GKDiving, GKHandling, GKKicking, GKPositioning, GKReflexes
@outputs Value
@data
25, 73, 76, Menor_que_5700, 1972, 1.0, 2.0, 3.0, 2021.0, 69.0, 60.0, 64.0, 71.0, 64.0, 73.0, 62.0, 34.0, 55.0, 66.0, 83.0, 89.0, 78.0, 71.0, 77.0, 75.0, 75.0, 78.0, 75.0, 56.0, 70.0, 68.0, 73.0, 67.0, 67.0, 63.0, 68.0, 70.0, 71.0, 9.0, 7.0, 8.0, 10.0, 9.0
25, 73, 76, Menor_que_5700, 1801, 1.0, 3.0, 3.0, 2021.0, 72.0, 29.0, 64.0, 68.0, 30.0, 73.0, 46.0, 40.0, 61.0, 72.0, 77.0, 85.0, 73.0, 69.0, 74.0, 37.0, 79.0, 77.0, 65.0, 35.0, 77.0, 69.0, 66.0, 57.0, 45.0, 62.0, 70.0, 70.0, 69.0, 7.0, 11.0, 8.0, 14.0, 12.0
25, 72, 76, Menor_que_5700, 1651, 1.0, 4.0, 2.0, 2019.0, 32.0, 75.0, 77.0, 61.0, 61.0, 67.0, 64.0, 68.0, 45.0, 73.0, 52.0, 51.0, 52.0, 71.0, 51.0, 73.0, 70.0, 55.0, 90.0, 58.0, 60.0, 26.0, 72.0, 61.0, 62.0, 68.0, 25.0, 26.0, 22.0, 15.0, 6.0, 13.0, 7.0, 10.0
24, 72, 77, Menor_que_5700, 1838, 1.0, 4.0, 3.0, 2023.0, 52.0, 57.0, 59.0, 76.0, 48.0, 63.0, 39.0, 48.0, 74.0, 66.0, 67.0, 64.0, 67.0, 69.0, 73.0, 75.0, 71.0, 84.0, 62.0, 74.0, 69.0, 59.0, 73.0, 76.0, 47.0, 66.0, 63.0, 53.0, 46.0, 15.0, 13.0, 16.0, 6.0, 14.0
20, 71, 82, Menor_que_5700, 1809, 1.0, 3.0, 3.0, 2019.0, 67.0, 71.0, 57.0, 64.0, 57.0, 77.0, 64.0, 59.0, 59.0, 72.0, 88.0, 85.0, 89.0, 63.0, 80.0, 65.0, 90.0, 68.0, 58.0, 63.0, 64.0, 33.0, 61.0, 56.0, 45.0, 63.0, 32.0, 37.0, 31.0, 12.0, 9.0, 9.0, 14.0, 10.0
26, 73, 76, Menor_que_5700, 1628, 1.0, 3.0, 2.0, 2020.0, 35.0, 41.0, 71.0, 65.0, 25.0, 59.0, 30.0, 40.0, 67.0, 65.0, 66.0, 67.0, 61.0, 66.0, 58.0, 35.0, 70.0, 63.0, 73.0, 23.0, 72.0, 78.0, 47.0, 42.0, 33.0, 70.0, 72.0, 72.0, 73.0, 9.0, 14.0, 11.0, 15.0, 10.0
23, 72, 77, Menor_que_5700, 1941, 1.0, 3.0, 3.0, 2020.0, 66.0, 66.0, 46.0, 66.0, 61.0, 74.0, 70.0, 47.0, 63.0, 70.0, 84.0, 83.0, 81.0, 65.0, 79.0, 71.0, 74.0, 84.0, 53.0, 64.0, 74.0, 51.0, 68.0, 70.0, 66.0, 65.0, 60.0, 66.0, 57.0, 16.0, 10.0, 9.0, 13.0, 14.0
25, 72, 77, Menor_que_5700, 1578, 1.0, 4.0, 3.0, 2021.0, 35.0, 75.0, 70.0, 59.0, 69.0, 69.0, 45.0, 30.0, 34.0, 72.0, 73.0, 71.0, 70.0, 59.0, 40.0, 74.0, 60.0, 62.0, 81.0, 65.0, 51.0, 16.0, 70.0, 49.0, 69.0, 66.0, 28.0, 19.0, 13.0, 13.0, 12.0, 5.0, 15.0, 5.0
23, 72, 77, Menor_que_5700, 1882, 1.0, 3.0, 3.0, 2022.0, 67.0, 61.0, 58.0, 67.0, 69.0, 71.0, 56.0, 48.0, 55.0, 68.0, 93.0, 93.0, 78.0, 69.0, 70.0, 80.0, 82.0, 84.0, 61.0, 65.0, 69.0, 45.0, 66.0, 65.0, 69.0, 69.0, 59.0, 30.0, 28.0, 12.0, 13.0, 13.0, 7.0, 11.0
24, 72, 77, Menor_que_5700, 1822, 1.0, 3.0, 3.0, 2023.0, 60.0, 71.0, 73.0, 64.0, 62.0, 68.0, 65.0, 45.0, 60.0, 72.0, 79.0, 79.0, 76.0, 59.0, 66.0, 73.0, 66.0, 73.0, 77.0, 64.0, 43.0, 35.0, 72.0, 58.0, 83.0, 61.0, 38.0, 43.0, 47.0, 8.0, 9.0, 11.0, 8.0, 15.0
