@relation fifa_final
@attribute Age integer [17, 37]
@attribute Overall integer [71, 94]
@attribute Potential integer [73, 95]
@attribute Value {Menor_que_5700, Entre_5700_e_8500, Entre_8500_e_11500, Maior_que_11500}
@attribute Special integer [1043, 2346]
@attribute InternationalReputation real [1.0, 5.0]
@attribute WeakFoot real [1.0, 5.0]
@attribute SkillMoves real [1.0, 5.0]
@attribute ContractValidUntil real [2018.0, 2026.0]
@attribute Crossing real [9.0, 93.0]
@attribute Finishing real [5.0, 95.0]
@attribute HeadingAccuracy real [8.0, 93.0]
@attribute ShortPassing real [13.0, 93.0]
@attribute Volleys real [5.0, 90.0]
@attribute Dribbling real [8.0, 97.0]
@attribute Curve real [9.0, 94.0]
@attribute FKAccuracy real [7.0, 94.0]
@attribute LongPassing real [12.0, 93.0]
@attribute BallControl real [11.0, 96.0]
@attribute Acceleration real [29.0, 97.0]
@attribute SprintSpeed real [26.0, 96.0]
@attribute Agility real [21.0, 96.0]
@attribute Reactions real [51.0, 96.0]
@attribute Balance real [22.0, 96.0]
@attribute ShotPower real [12.0, 95.0]
@attribute Jumping real [30.0, 95.0]
@attribute Stamina real [20.0, 96.0]
@attribute Strength real [27.0, 95.0]
@attribute LongShots real [6.0, 94.0]
@attribute Aggression real [11.0, 94.0]
@attribute Interceptions real [7.0, 92.0]
@attribute Positioning real [4.0, 95.0]
@attribute Vision real [11.0, 94.0]
@attribute Penalties real [10.0, 92.0]
@attribute Composure real [25.0, 96.0]
@attribute Marking real [9.0, 94.0]
@attribute StandingTackle real [7.0, 92.0]
@attribute SlidingTackle real [8.0, 91.0]
@attribute GKDiving real [1.0, 90.0]
@attribute GKHandling real [1.0, 92.0]
@attribute GKKicking real [1.0, 91.0]
@attribute GKPositioning real [1.0, 88.0]
@attribute GKReflexes real [1.0, 94.0]
@inputs Age, Overall, Potential, Special, InternationalReputation, WeakFoot, SkillMoves, ContractValidUntil, Crossing, Finishing, HeadingAccuracy, ShortPassing, Volleys, Dribbling, Curve, FKAccuracy, LongPassing, BallControl, Acceleration, SprintSpeed, Agility, Reactions, Balance, ShotPower, Jumping, Stamina, Strength, LongShots, Aggression, Interceptions, Positioning, Vision, Penalties, Composure, Marking, StandingTackle, SlidingTackle, GKDiving, GKHandling, GKKicking, GKPositioning, GKReflexes
@outputs Value
@data
35, 77, 77, Menor_que_5700, 1812, 2.0, 4.0, 3.0, 2020.0, 54.0, 85.0, 65.0, 66.0, 82.0, 74.0, 63.0, 68.0, 43.0, 77.0, 73.0, 63.0, 77.0, 78.0, 87.0, 84.0, 68.0, 55.0, 54.0, 78.0, 62.0, 19.0, 85.0, 65.0, 74.0, 82.0, 30.0, 20.0, 11.0, 7.0, 14.0, 8.0, 10.0, 13.0
30, 74, 74, Menor_que_5700, 1993, 1.0, 4.0, 3.0, 2020.0, 70.0, 58.0, 62.0, 70.0, 21.0, 75.0, 68.0, 58.0, 65.0, 71.0, 85.0, 86.0, 84.0, 68.0, 82.0, 74.0, 80.0, 92.0, 70.0, 67.0, 76.0, 68.0, 71.0, 65.0, 46.0, 67.0, 69.0, 70.0, 68.0, 15.0, 8.0, 13.0, 12.0, 6.0
30, 74, 74, Menor_que_5700, 1936, 2.0, 4.0, 3.0, 2021.0, 76.0, 48.0, 60.0, 70.0, 50.0, 70.0, 62.0, 55.0, 66.0, 74.0, 68.0, 68.0, 69.0, 70.0, 71.0, 68.0, 69.0, 73.0, 75.0, 60.0, 72.0, 76.0, 66.0, 58.0, 61.0, 68.0, 76.0, 76.0, 74.0, 10.0, 8.0, 14.0, 13.0, 10.0
30, 74, 74, Menor_que_5700, 1826, 2.0, 3.0, 3.0, 2019.0, 74.0, 27.0, 64.0, 63.0, 44.0, 68.0, 68.0, 30.0, 64.0, 71.0, 67.0, 76.0, 50.0, 71.0, 50.0, 74.0, 57.0, 79.0, 86.0, 66.0, 80.0, 72.0, 51.0, 54.0, 37.0, 67.0, 75.0, 78.0, 78.0, 12.0, 8.0, 9.0, 9.0, 14.0
28, 73, 73, Menor_que_5700, 1826, 1.0, 3.0, 3.0, 2019.0, 69.0, 71.0, 77.0, 69.0, 67.0, 73.0, 68.0, 63.0, 61.0, 74.0, 68.0, 72.0, 65.0, 71.0, 58.0, 68.0, 71.0, 70.0, 74.0, 71.0, 76.0, 39.0, 76.0, 65.0, 57.0, 70.0, 26.0, 28.0, 25.0, 16.0, 11.0, 8.0, 8.0, 11.0
24, 72, 76, Menor_que_5700, 1737, 1.0, 3.0, 3.0, 2022.0, 61.0, 73.0, 72.0, 63.0, 73.0, 64.0, 72.0, 67.0, 42.0, 71.0, 64.0, 68.0, 63.0, 74.0, 62.0, 74.0, 71.0, 66.0, 74.0, 66.0, 55.0, 29.0, 74.0, 53.0, 49.0, 65.0, 27.0, 35.0, 22.0, 6.0, 12.0, 7.0, 12.0, 16.0
33, 75, 75, Menor_que_5700, 1869, 2.0, 4.0, 3.0, 2020.0, 63.0, 79.0, 70.0, 72.0, 74.0, 73.0, 75.0, 59.0, 58.0, 76.0, 76.0, 49.0, 78.0, 77.0, 72.0, 79.0, 70.0, 69.0, 72.0, 75.0, 51.0, 30.0, 77.0, 65.0, 80.0, 74.0, 57.0, 19.0, 19.0, 8.0, 10.0, 12.0, 13.0, 12.0
30, 74, 74, Menor_que_5700, 1812, 2.0, 4.0, 2.0, 2019.0, 50.0, 39.0, 73.0, 73.0, 47.0, 62.0, 53.0, 50.0, 69.0, 73.0, 46.0, 39.0, 56.0, 73.0, 51.0, 70.0, 65.0, 77.0, 74.0, 63.0, 66.0, 73.0, 53.0, 69.0, 58.0, 66.0, 74.0, 79.0, 76.0, 6.0, 13.0, 15.0, 13.0, 14.0
30, 74, 74, Menor_que_5700, 1815, 1.0, 3.0, 2.0, 2021.0, 62.0, 47.0, 74.0, 68.0, 51.0, 58.0, 49.0, 43.0, 71.0, 72.0, 66.0, 70.0, 55.0, 72.0, 61.0, 70.0, 67.0, 74.0, 73.0, 52.0, 78.0, 73.0, 41.0, 34.0, 67.0, 64.0, 71.0, 77.0, 67.0, 13.0, 8.0, 13.0, 6.0, 12.0
27, 73, 73, Menor_que_5700, 1874, 1.0, 2.0, 3.0, 2019.0, 66.0, 65.0, 49.0, 67.0, 69.0, 72.0, 64.0, 63.0, 58.0, 70.0, 94.0, 91.0, 94.0, 70.0, 95.0, 74.0, 63.0, 79.0, 34.0, 59.0, 56.0, 49.0, 68.0, 74.0, 59.0, 70.0, 54.0, 36.0, 30.0, 9.0, 8.0, 11.0, 15.0, 9.0
