@relation fifa_final
@attribute Age integer [17, 37]
@attribute Overall integer [71, 94]
@attribute Potential integer [73, 95]
@attribute Value {Menor_que_5700, Entre_5700_e_8500, Entre_8500_e_11500, Maior_que_11500}
@attribute Special integer [1043, 2346]
@attribute InternationalReputation real [1.0, 5.0]
@attribute WeakFoot real [1.0, 5.0]
@attribute SkillMoves real [1.0, 5.0]
@attribute ContractValidUntil real [2018.0, 2026.0]
@attribute Crossing real [9.0, 93.0]
@attribute Finishing real [5.0, 95.0]
@attribute HeadingAccuracy real [8.0, 93.0]
@attribute ShortPassing real [13.0, 93.0]
@attribute Volleys real [5.0, 90.0]
@attribute Dribbling real [8.0, 97.0]
@attribute Curve real [9.0, 94.0]
@attribute FKAccuracy real [7.0, 94.0]
@attribute LongPassing real [12.0, 93.0]
@attribute BallControl real [11.0, 96.0]
@attribute Acceleration real [29.0, 97.0]
@attribute SprintSpeed real [26.0, 96.0]
@attribute Agility real [21.0, 96.0]
@attribute Reactions real [51.0, 96.0]
@attribute Balance real [22.0, 96.0]
@attribute ShotPower real [12.0, 95.0]
@attribute Jumping real [30.0, 95.0]
@attribute Stamina real [20.0, 96.0]
@attribute Strength real [27.0, 95.0]
@attribute LongShots real [6.0, 94.0]
@attribute Aggression real [11.0, 94.0]
@attribute Interceptions real [7.0, 92.0]
@attribute Positioning real [4.0, 95.0]
@attribute Vision real [11.0, 94.0]
@attribute Penalties real [10.0, 92.0]
@attribute Composure real [25.0, 96.0]
@attribute Marking real [9.0, 94.0]
@attribute StandingTackle real [7.0, 92.0]
@attribute SlidingTackle real [8.0, 91.0]
@attribute GKDiving real [1.0, 90.0]
@attribute GKHandling real [1.0, 92.0]
@attribute GKKicking real [1.0, 91.0]
@attribute GKPositioning real [1.0, 88.0]
@attribute GKReflexes real [1.0, 94.0]
@inputs Age, Overall, Potential, Special, InternationalReputation, WeakFoot, SkillMoves, ContractValidUntil, Crossing, Finishing, HeadingAccuracy, ShortPassing, Volleys, Dribbling, Curve, FKAccuracy, LongPassing, BallControl, Acceleration, SprintSpeed, Agility, Reactions, Balance, ShotPower, Jumping, Stamina, Strength, LongShots, Aggression, Interceptions, Positioning, Vision, Penalties, Composure, Marking, StandingTackle, SlidingTackle, GKDiving, GKHandling, GKKicking, GKPositioning, GKReflexes
@outputs Value
@data
23, 72, 77, Menor_que_5700, 1817, 1.0, 3.0, 3.0, 2020.0, 54.0, 52.0, 55.0, 75.0, 43.0, 75.0, 59.0, 41.0, 70.0, 75.0, 67.0, 69.0, 64.0, 72.0, 66.0, 57.0, 63.0, 65.0, 66.0, 57.0, 68.0, 69.0, 67.0, 74.0, 53.0, 69.0, 60.0, 68.0, 63.0, 8.0, 11.0, 9.0, 9.0, 13.0
23, 72, 76, Menor_que_5700, 1753, 1.0, 4.0, 3.0, 2022.0, 58.0, 68.0, 41.0, 70.0, 53.0, 78.0, 65.0, 64.0, 64.0, 76.0, 76.0, 77.0, 85.0, 53.0, 86.0, 76.0, 67.0, 70.0, 48.0, 73.0, 32.0, 17.0, 63.0, 70.0, 61.0, 70.0, 47.0, 32.0, 26.0, 14.0, 12.0, 7.0, 12.0, 12.0
25, 72, 77, Menor_que_5700, 1868, 1.0, 3.0, 3.0, 2019.0, 69.0, 65.0, 38.0, 80.0, 51.0, 69.0, 70.0, 62.0, 77.0, 74.0, 74.0, 71.0, 88.0, 60.0, 72.0, 67.0, 69.0, 84.0, 75.0, 66.0, 44.0, 42.0, 72.0, 75.0, 68.0, 84.0, 60.0, 50.0, 26.0, 11.0, 6.0, 14.0, 8.0, 11.0
24, 84, 89, Menor_que_5700, 2083, 3.0, 3.0, 5.0, 2021.0, 79.0, 79.0, 65.0, 80.0, 74.0, 85.0, 85.0, 88.0, 74.0, 85.0, 87.0, 87.0, 82.0, 79.0, 79.0, 87.0, 74.0, 79.0, 80.0, 81.0, 76.0, 28.0, 83.0, 82.0, 75.0, 79.0, 29.0, 31.0, 20.0, 8.0, 14.0, 6.0, 12.0, 10.0
30, 74, 74, Menor_que_5700, 1505, 1.0, 2.0, 2.0, 2019.0, 43.0, 23.0, 76.0, 69.0, 23.0, 38.0, 35.0, 36.0, 68.0, 56.0, 34.0, 37.0, 47.0, 70.0, 40.0, 25.0, 38.0, 66.0, 80.0, 21.0, 77.0, 79.0, 41.0, 58.0, 65.0, 67.0, 78.0, 76.0, 71.0, 6.0, 8.0, 7.0, 7.0, 7.0
30, 74, 74, Menor_que_5700, 1817, 1.0, 3.0, 2.0, 2020.0, 58.0, 22.0, 70.0, 59.0, 30.0, 60.0, 65.0, 67.0, 53.0, 61.0, 69.0, 68.0, 66.0, 70.0, 72.0, 57.0, 92.0, 73.0, 76.0, 57.0, 80.0, 76.0, 42.0, 39.0, 45.0, 65.0, 75.0, 73.0, 74.0, 13.0, 13.0, 14.0, 15.0, 13.0
30, 74, 74, Menor_que_5700, 2010, 1.0, 3.0, 2.0, 2021.0, 42.0, 65.0, 73.0, 76.0, 71.0, 64.0, 53.0, 71.0, 77.0, 70.0, 74.0, 76.0, 68.0, 82.0, 68.0, 82.0, 68.0, 77.0, 69.0, 77.0, 66.0, 66.0, 70.0, 63.0, 70.0, 69.0, 81.0, 76.0, 68.0, 7.0, 12.0, 13.0, 7.0, 8.0
30, 74, 74, Menor_que_5700, 1551, 1.0, 3.0, 2.0, 2021.0, 39.0, 37.0, 77.0, 65.0, 22.0, 47.0, 37.0, 43.0, 58.0, 43.0, 50.0, 55.0, 40.0, 70.0, 34.0, 56.0, 72.0, 60.0, 85.0, 34.0, 80.0, 71.0, 27.0, 33.0, 46.0, 79.0, 74.0, 77.0, 72.0, 6.0, 8.0, 14.0, 13.0, 6.0
26, 73, 76, Menor_que_5700, 1648, 1.0, 3.0, 2.0, 2021.0, 53.0, 18.0, 74.0, 69.0, 26.0, 62.0, 48.0, 26.0, 65.0, 62.0, 52.0, 66.0, 51.0, 70.0, 35.0, 67.0, 66.0, 69.0, 84.0, 33.0, 77.0, 71.0, 30.0, 65.0, 40.0, 72.0, 70.0, 73.0, 70.0, 11.0, 10.0, 14.0, 10.0, 11.0
24, 72, 77, Menor_que_5700, 1580, 1.0, 3.0, 3.0, 2020.0, 38.0, 71.0, 70.0, 57.0, 68.0, 67.0, 49.0, 58.0, 38.0, 69.0, 54.0, 74.0, 51.0, 71.0, 33.0, 79.0, 34.0, 69.0, 87.0, 61.0, 71.0, 37.0, 73.0, 48.0, 71.0, 67.0, 17.0, 18.0, 11.0, 7.0, 7.0, 6.0, 5.0, 11.0
