@relation fifa_final
@attribute Age integer [17, 37]
@attribute Overall integer [71, 94]
@attribute Potential integer [73, 95]
@attribute Value {Menor_que_5700, Entre_5700_e_8500, Entre_8500_e_11500, Maior_que_11500}
@attribute Special integer [1043, 2346]
@attribute InternationalReputation real [1.0, 5.0]
@attribute WeakFoot real [1.0, 5.0]
@attribute SkillMoves real [1.0, 5.0]
@attribute ContractValidUntil real [2018.0, 2026.0]
@attribute Crossing real [9.0, 93.0]
@attribute Finishing real [5.0, 95.0]
@attribute HeadingAccuracy real [8.0, 93.0]
@attribute ShortPassing real [13.0, 93.0]
@attribute Volleys real [5.0, 90.0]
@attribute Dribbling real [8.0, 97.0]
@attribute Curve real [9.0, 94.0]
@attribute FKAccuracy real [7.0, 94.0]
@attribute LongPassing real [12.0, 93.0]
@attribute BallControl real [11.0, 96.0]
@attribute Acceleration real [29.0, 97.0]
@attribute SprintSpeed real [26.0, 96.0]
@attribute Agility real [21.0, 96.0]
@attribute Reactions real [51.0, 96.0]
@attribute Balance real [22.0, 96.0]
@attribute ShotPower real [12.0, 95.0]
@attribute Jumping real [30.0, 95.0]
@attribute Stamina real [20.0, 96.0]
@attribute Strength real [27.0, 95.0]
@attribute LongShots real [6.0, 94.0]
@attribute Aggression real [11.0, 94.0]
@attribute Interceptions real [7.0, 92.0]
@attribute Positioning real [4.0, 95.0]
@attribute Vision real [11.0, 94.0]
@attribute Penalties real [10.0, 92.0]
@attribute Composure real [25.0, 96.0]
@attribute Marking real [9.0, 94.0]
@attribute StandingTackle real [7.0, 92.0]
@attribute SlidingTackle real [8.0, 91.0]
@attribute GKDiving real [1.0, 90.0]
@attribute GKHandling real [1.0, 92.0]
@attribute GKKicking real [1.0, 91.0]
@attribute GKPositioning real [1.0, 88.0]
@attribute GKReflexes real [1.0, 94.0]
@inputs Age, Overall, Potential, Special, InternationalReputation, WeakFoot, SkillMoves, ContractValidUntil, Crossing, Finishing, HeadingAccuracy, ShortPassing, Volleys, Dribbling, Curve, FKAccuracy, LongPassing, BallControl, Acceleration, SprintSpeed, Agility, Reactions, Balance, ShotPower, Jumping, Stamina, Strength, LongShots, Aggression, Interceptions, Positioning, Vision, Penalties, Composure, Marking, StandingTackle, SlidingTackle, GKDiving, GKHandling, GKKicking, GKPositioning, GKReflexes
@outputs Value
@data
25, 73, 76, Menor_que_5700, 2022, 2.0, 4.0, 4.0, 2020.0, 71.0, 66.0, 59.0, 72.0, 58.0, 75.0, 70.0, 63.0, 67.0, 74.0, 80.0, 75.0, 81.0, 72.0, 82.0, 66.0, 78.0, 71.0, 62.0, 63.0, 67.0, 71.0, 70.0, 69.0, 66.0, 73.0, 70.0, 74.0, 73.0, 12.0, 9.0, 12.0, 8.0, 16.0
28, 73, 73, Menor_que_5700, 1787, 1.0, 3.0, 4.0, 2021.0, 66.0, 65.0, 55.0, 72.0, 60.0, 78.0, 63.0, 65.0, 55.0, 77.0, 87.0, 85.0, 88.0, 73.0, 89.0, 60.0, 71.0, 66.0, 34.0, 68.0, 40.0, 25.0, 72.0, 72.0, 69.0, 72.0, 55.0, 27.0, 12.0, 6.0, 7.0, 6.0, 5.0, 14.0
28, 73, 73, Menor_que_5700, 1808, 1.0, 5.0, 3.0, 2019.0, 60.0, 74.0, 72.0, 68.0, 62.0, 71.0, 58.0, 60.0, 59.0, 73.0, 71.0, 74.0, 59.0, 70.0, 68.0, 73.0, 65.0, 76.0, 81.0, 65.0, 48.0, 53.0, 73.0, 66.0, 72.0, 70.0, 36.0, 26.0, 23.0, 14.0, 8.0, 13.0, 10.0, 7.0
25, 72, 76, Menor_que_5700, 1749, 1.0, 3.0, 3.0, 2022.0, 46.0, 75.0, 66.0, 68.0, 70.0, 65.0, 65.0, 57.0, 52.0, 70.0, 76.0, 83.0, 69.0, 68.0, 65.0, 68.0, 77.0, 64.0, 78.0, 64.0, 60.0, 25.0, 73.0, 64.0, 72.0, 70.0, 31.0, 22.0, 17.0, 7.0, 6.0, 9.0, 10.0, 7.0
30, 74, 74, Menor_que_5700, 1831, 2.0, 4.0, 3.0, 2020.0, 49.0, 31.0, 76.0, 72.0, 59.0, 68.0, 54.0, 44.0, 68.0, 69.0, 54.0, 55.0, 48.0, 67.0, 49.0, 69.0, 70.0, 81.0, 90.0, 67.0, 89.0, 72.0, 58.0, 70.0, 54.0, 67.0, 69.0, 73.0, 70.0, 7.0, 8.0, 5.0, 10.0, 6.0
24, 73, 76, Menor_que_5700, 1987, 1.0, 2.0, 3.0, 2021.0, 73.0, 55.0, 54.0, 72.0, 42.0, 74.0, 72.0, 52.0, 62.0, 69.0, 86.0, 85.0, 85.0, 71.0, 85.0, 64.0, 78.0, 78.0, 65.0, 54.0, 75.0, 70.0, 69.0, 65.0, 61.0, 67.0, 72.0, 70.0, 70.0, 15.0, 10.0, 14.0, 13.0, 7.0
27, 73, 73, Menor_que_5700, 1946, 1.0, 3.0, 4.0, 2019.0, 65.0, 62.0, 50.0, 72.0, 64.0, 76.0, 59.0, 59.0, 60.0, 74.0, 90.0, 93.0, 87.0, 70.0, 84.0, 70.0, 83.0, 75.0, 55.0, 67.0, 67.0, 61.0, 66.0, 69.0, 57.0, 75.0, 38.0, 56.0, 55.0, 15.0, 12.0, 14.0, 6.0, 15.0
24, 72, 77, Menor_que_5700, 1807, 1.0, 4.0, 3.0, 2020.0, 71.0, 73.0, 53.0, 75.0, 74.0, 72.0, 75.0, 73.0, 68.0, 77.0, 70.0, 69.0, 72.0, 70.0, 69.0, 70.0, 39.0, 66.0, 55.0, 70.0, 44.0, 31.0, 71.0, 72.0, 73.0, 79.0, 27.0, 32.0, 47.0, 10.0, 7.0, 8.0, 10.0, 14.0
19, 72, 79, Menor_que_5700, 1785, 1.0, 4.0, 3.0, 2022.0, 68.0, 62.0, 50.0, 72.0, 57.0, 77.0, 72.0, 69.0, 62.0, 77.0, 77.0, 77.0, 81.0, 63.0, 89.0, 68.0, 53.0, 65.0, 34.0, 64.0, 52.0, 35.0, 67.0, 72.0, 55.0, 63.0, 35.0, 40.0, 35.0, 11.0, 12.0, 13.0, 11.0, 10.0
21, 72, 78, Menor_que_5700, 1817, 1.0, 3.0, 3.0, 2022.0, 56.0, 60.0, 70.0, 75.0, 58.0, 69.0, 55.0, 55.0, 72.0, 74.0, 52.0, 51.0, 54.0, 74.0, 57.0, 69.0, 54.0, 51.0, 68.0, 69.0, 58.0, 74.0, 72.0, 72.0, 53.0, 62.0, 68.0, 68.0, 66.0, 12.0, 8.0, 7.0, 8.0, 8.0
27, 73, 73, Menor_que_5700, 1774, 2.0, 4.0, 3.0, 2021.0, 50.0, 71.0, 74.0, 62.0, 61.0, 71.0, 57.0, 45.0, 55.0, 71.0, 69.0, 74.0, 69.0, 72.0, 67.0, 83.0, 92.0, 66.0, 77.0, 67.0, 62.0, 38.0, 70.0, 52.0, 69.0, 72.0, 20.0, 29.0, 23.0, 10.0, 11.0, 15.0, 15.0, 7.0
26, 73, 73, Menor_que_5700, 1787, 1.0, 3.0, 3.0, 2022.0, 70.0, 68.0, 52.0, 60.0, 56.0, 74.0, 68.0, 65.0, 48.0, 74.0, 85.0, 88.0, 82.0, 75.0, 80.0, 71.0, 49.0, 77.0, 47.0, 66.0, 43.0, 24.0, 68.0, 71.0, 68.0, 63.0, 43.0, 30.0, 38.0, 14.0, 9.0, 6.0, 6.0, 12.0
23, 72, 78, Menor_que_5700, 1926, 1.0, 3.0, 3.0, 2020.0, 72.0, 62.0, 48.0, 71.0, 68.0, 70.0, 68.0, 70.0, 67.0, 72.0, 82.0, 77.0, 90.0, 66.0, 87.0, 70.0, 37.0, 91.0, 53.0, 69.0, 43.0, 61.0, 61.0, 73.0, 42.0, 67.0, 69.0, 67.0, 64.0, 10.0, 11.0, 13.0, 7.0, 15.0
23, 72, 78, Menor_que_5700, 1770, 1.0, 3.0, 4.0, 2019.0, 63.0, 66.0, 50.0, 69.0, 60.0, 77.0, 71.0, 62.0, 66.0, 78.0, 79.0, 84.0, 87.0, 66.0, 70.0, 71.0, 57.0, 73.0, 64.0, 67.0, 24.0, 48.0, 69.0, 75.0, 48.0, 68.0, 28.0, 26.0, 21.0, 14.0, 8.0, 8.0, 15.0, 6.0
32, 76, 76, Menor_que_5700, 2011, 1.0, 4.0, 2.0, 2018.0, 47.0, 50.0, 66.0, 82.0, 69.0, 75.0, 66.0, 51.0, 78.0, 76.0, 68.0, 68.0, 70.0, 73.0, 75.0, 84.0, 65.0, 74.0, 76.0, 66.0, 87.0, 70.0, 66.0, 65.0, 66.0, 77.0, 71.0, 73.0, 74.0, 9.0, 12.0, 15.0, 16.0, 8.0
32, 76, 76, Menor_que_5700, 1632, 2.0, 3.0, 2.0, 2019.0, 35.0, 26.0, 79.0, 63.0, 28.0, 49.0, 33.0, 48.0, 59.0, 61.0, 38.0, 36.0, 59.0, 74.0, 63.0, 50.0, 81.0, 73.0, 78.0, 29.0, 82.0, 78.0, 40.0, 49.0, 47.0, 71.0, 75.0, 74.0, 78.0, 11.0, 7.0, 11.0, 7.0, 11.0
31, 75, 75, Menor_que_5700, 1978, 1.0, 3.0, 3.0, 2020.0, 76.0, 49.0, 56.0, 73.0, 44.0, 72.0, 73.0, 74.0, 68.0, 74.0, 76.0, 73.0, 78.0, 79.0, 76.0, 67.0, 69.0, 82.0, 60.0, 59.0, 69.0, 73.0, 66.0, 60.0, 58.0, 70.0, 70.0, 75.0, 73.0, 15.0, 13.0, 13.0, 6.0, 9.0
